127.0.0.1 - - [10/May/2024:22:37:40 -0400] "GET /aulascursosya/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/m/Cursos HTTP/1.1" 200 18975
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/js/dwr-engine.js?ox=7.2.3 HTTP/1.1" 200 47370
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/dwr/util.js?ox=7.2.3 HTTP/1.1" 200 46702
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/js/openxava.js?ox=7.2.3 HTTP/1.1" 200 51744
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/js/jquery.js?ox=7.2.3 HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/js/jquery.sorttable.js?ox=7.2.3 HTTP/1.1" 200 8889
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/js/jquery.ui.touch-punch.js?ox=7.2.3 HTTP/1.1" 200 6927
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/js/jquery-ui.js?ox=7.2.3 HTTP/1.1" 200 255079
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/js/typewatch.js?ox=7.2.3 HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/autoNumeric.js?ox=7.2.3 HTTP/1.1" 200 19587
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/calendarEditor.js?ox=7.2.3 HTTP/1.1" 200 9057
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/c3.js?ox=7.2.3 HTTP/1.1" 200 138210
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/chartDataEditor.js?ox=7.2.3 HTTP/1.1" 200 2881
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/cardsEditor.js?ox=7.2.3 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/coordinatesEditor.js?ox=7.2.3 HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/xava/editors/js/d3.js?ox=7.2.3 HTTP/1.1" 200 151125
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/dwr/interface/Module.js?ox=7.2.3 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/dwr/interface/Modules.js?ox=7.2.3 HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:22:37:42 -0400] "GET /aulascursosya/dwr/interface/Folders.js?ox=7.2.3 HTTP/1.1" 200 500
